OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,SUBTYPE,DENOM,MEMBERS,ATTENDANCE,LOC_TYPE,PROT,CATH
1001,10438385,FREMONT PRESBYTERIAN CHURCH,916-452-7132,5770 CARLSON DRIVE,NOT AVAILABLE,SACRAMENTO,CA,95819,2553,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-10T00:00:00.000Z,ALT REF,2007-10-10T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24458797,-121.4298846,38.5679418,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,PCUSA,1292,800,NOT AVAILABLE,Y,N
1002,10438397,LAFAYETTE - ORINDA PRESBYTERIAN CHURCH,925-283-8722,49 KNOX DRIVE,NOT AVAILABLE,LAFAYETTE,CA,94549,3322,CONTRA COSTA,06013,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-10T00:00:00.000Z,ALT REF,2007-10-10T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23660044,-122.1585336,37.8872452,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,PCUSA,1971,775,NOT AVAILABLE,Y,N
1003,10438425,WALNUT CREEK PRESBYTERIAN CHURCH,925-935-1574,1801 LACASSIE AVENUE,NOT AVAILABLE,WALNUT CREEK,CA,94596,4016,CONTRA COSTA,06013,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-10T00:00:00.000Z,ALT REF,2007-10-10T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24597871,-122.067842,37.9026146,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,PCUSA,1290,914,NOT AVAILABLE,Y,N
1004,10431831,MUHAJEREEN MOSQUE,510-786-0313,185 FOLSOM AVENUE,NOT AVAILABLE,HAYWARD,CA,94544,6504,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2008-10-31T00:00:00.000Z,ALT REF,2008-10-31T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,"MOSQUES, RELIGIOUS",24523694,-122.0587615,37.6280865,NAVTEQ,2008Q1,ONENTITY,N/A,TGS,NOT AVAILABLE,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,0,NOT AVAILABLE,N,N
1005,10438443,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - VALLEY HI WARD,916-422-6919,7401 24TH STREET,NOT AVAILABLE,SACRAMENTO,CA,95822,5319,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24466544,-121.479597,38.489979,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1006,10431832,MUHAJEREEN MOSQUE,510-786-0313,27949 LEIDIG COURT,NOT AVAILABLE,HAYWARD,CA,94544,5347,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2008-11-05T00:00:00.000Z,ALT REF,2008-11-05T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,"MOSQUES, RELIGIOUS",23744058,-122.0647281,37.6348742,NAVTEQ,2008Q1,ONENTITY,N/A,TGS,NOT AVAILABLE,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,0,NOT AVAILABLE,N,N
1007,10446517,SAINT FRANCES CABRINI CATHOLIC CHURCH,408-879-1120,15333 WOODARD ROAD,NOT AVAILABLE,SAN JOSE,CA,95124,2746,SANTA CLARA,06085,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2008-11-12T00:00:00.000Z,ALT REF,2008-11-12T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23735858,-121.9372318,37.2610292,NAVTEQ,2008Q1,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,0,NOT AVAILABLE,N,Y
1008,10448695,KNANAYA CATHOLIC COMMUNITY OF NORTHERN CALIFORNIA,408-879-1123,15333 WOODARD ROAD,SAINT FRANCIS CABRINI PARISH,SAN JOSE,CA,95124,2746,SANTA CLARA,06085,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-08-31T00:00:00.000Z,ALT REF,2009-01-26T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23735858,-121.9372346,37.2610308,NAVTEQ,2008Q1,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,0,NOT AVAILABLE,N,Y
1009,10438553,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SANTA CLARA 3RD WARD,541-688-4585,550 NORTH DANEBO AVENUE,NOT AVAILABLE,EUGENE,OR,97402,2264,LANE,41039,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,37692802,-123.178777,44.0668468,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1010,10438593,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BROOKVALE WARD,510-796-1211,3551 DECOTO ROAD,NOT AVAILABLE,FREMONT,CA,94555,3109,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-12T00:00:00.000Z,ALT REF,2007-10-12T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,28485032,-122.0298723,37.5745212,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
