"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG 14-Oct-2021","30 D % CHNG 16-Sep-2022"
"NIFTY 50","17,808.30","17,811.50","17,695.35","17,730.75","17,702.90","-27.85","-0.16",98179069,"77,045,192,720.22","18,350.95","15,183.40","-5.60","-1.25"
"TECHM","1,053.40","1,071.85","1,051.00","1,048.15","1,066.45","18.30","1.75",1019624,"1,084,115,218.00","1,838.00","943.70","-28.48","-0.96"
"MARUTI","8,820.00","8,960.00","8,797.40","8,765.45","8,902.90","137.45","1.57",290358,"2,586,924,275.94","9,451.00","6,536.55","16.37","-5.07"
"JSWSTEEL","624.20","650.95","624.20","629.60","639.40","9.80","1.56",2377705,"1,521,731,200.00","790.00","520.05","-8.86","-7.93"
"DRREDDY","4,389.95","4,457.00","4,371.00","4,377.50","4,443.80","66.30","1.51",202415,"897,358,322.90","4,931.05","3,654.00","-12.57","6.32"
"GRASIM","1,696.50","1,729.00","1,692.90","1,699.05","1,722.90","23.85","1.40",260995,"448,102,315.50","1,929.80","1,276.60","-3.50","-3.06"
"TATAMOTORS","404.35","410.50","403.20","401.60","406.95","5.35","1.33",8148919,"3,320,847,470.88","536.70","366.20","-20.40","-8.42"
"SBIN","572.50","579.60","568.00","570.50","576.60","6.10","1.07",6154165,"3,537,844,833.55","579.60","425.00","10.81","-3.23"
"LT","1,915.00","1,933.00","1,891.55","1,909.75","1,927.65","17.90","0.94",542465,"1,040,936,088.50","2,078.55","1,456.35","5.25","-1.92"
"CIPLA","1,147.00","1,164.85","1,146.90","1,146.90","1,156.90","10.00","0.87",882530,"1,020,469,439.00","1,164.85","850.00","21.59","6.20"
"HINDALCO","394.40","400.95","391.50","395.55","398.50","2.95","0.75",2548317,"1,013,847,918.45","636.00","308.95","-24.76","-5.87"
"ULTRACEMCO","6,420.00","6,474.00","6,387.20","6,394.60","6,434.90","40.30","0.63",160427,"1,033,536,509.07","8,269.00","5,157.05","-15.20","-3.24"
"NTPC","167.45","168.20","165.45","166.95","168.00","1.05","0.63",2426996,"406,230,590.48","176.15","119.10","12.75","-2.52"
